Row,Vin,Year,Make,Model
A22,KL1TD5DE9AB123801,2010,CHEVROLET,AVEO
A25,1G1AL58F687210082,2008,CHEVROLET,COBALT
A19,1GNDV13E64D203612,2004,CHEVROLET,VENTURE
A20,3G1JF12T71S142705,2001,CHEVROLET,CAVALIER
A22,2G1WH52K049398376,2004,CHEVROLET,IMPALA
A01,1W80U8Z458160,1978,CHEVROLET,EL CAMINO
A21,1G1ZC5EB0AF171375,2010,CHEVROLET,MALIBU
A23,1G1AL55F477333723,2007,CHEVROLET,COBALT
A26,1GNER23D99S138425,2009,CHEVROLET,TRAVERSE
A21,1G1AK18F587134298,2008,CHEVROLET,COBALT
A25,KL1TD52605B328439,2005,CHEVROLET,AVEO
A20,1G1JC524327420315,2002,CHEVROLET,CAVALIER
A29,2G1WF52E349237097,2004,CHEVROLET,IMPALA
A26,2G1125S32E9113859,2014,CHEVROLET,IMPALANEW
A26,2G1AW51W8H1110712,1987,CHEVROLET,CELEBRITY
A22,1G1AL18F677344971,2007,CHEVROLET,COBALT
A27,1GNEV23D09S141077,2009,CHEVROLET,TRAVERSE
A20,1G1JC52FX47287038,2004,CHEVROLET,CAVALIER
A26,KL1TD66E09B349496,2009,CHEVROLET,AVEO
A20,1G1JF52F857106866,2005,CHEVROLET,CAVALIER
A21,3GNCA23B69S500793,2009,CHEVROLET,HHR
A19,1G1ZT54805F271293,2005,CHEVROLET,MALIBUNEW
A21,2G1WL52M4X9158090,1999,CHEVROLET,LUMINACAR
A22,2G1WW12M7V9322848,1997,CHEVROLET,MONTE CAR
A24,1G1JF31W0J7158752,1988,CHEVROLET,CAVALIER
A20,1G1ND52FX5M227360,2005,CHEVROLET,MALIBUNEW
A27,1G1JC1245X7171726,1999,CHEVROLET,CAVALIER
A01,155698L111080,1968,CHEVROLET,BEL AIR
A23,1GNDX03E7WD221379,1998,CHEVROLET,VENTURE
A22,1G1ZH57B79F227872,2009,CHEVROLET,MALIBU
A27,1G1AT18H897264639,2009,CHEVROLET,COBALT
A22,1G1ND52J516214454,2001,CHEVROLET,MALIBU
A24,1G1JC5240Y7193173,2000,CHEVROLET,CAVALIER
A29,KL8CD6S94DC514544,2013,CHEVROLET,SPARK
A26,1G1JC5249T7187848,1996,CHEVROLET,CAVALIER
A19,1G1LT5112JY684666,1988,CHEVROLET,CORSICA
A20,1G1JC5246Y7306978,2000,CHEVROLET,CAVALIER
A25,1G1ZB5E03CF262211,2012,CHEVROLET,MALIBU
A25,4G1JF3243TB102218,1996,CHEVROLET,CAVALIER
A29,1G1ZC5E03CF306897,2012,CHEVROLET,MALIBU
A28,1G2AS18H697127018,2009,PONTIAC,G5
A29,1G2NF52E1YM863473,2000,PONTIAC,GRAND AM
A23,1G2ZH57N594113516,2009,PONTIAC,G6
A23,2CKDL73F066138678,2006,PONTIAC,TORRENT
A25,1G2NE12T3XM887623,1999,PONTIAC,GRAND AM
A25,2G2WP552161188011,2006,PONTIAC,GRAND PRI
A27,1G2ZF55B664240060,2006,PONTIAC,G6
A25,3G7DA03E81S518873,2001,PONTIAC,AZTEK
A21,1G2ZG528X54153203,2005,PONTIAC,G6
A24,1G2JB12F937206200,2003,PONTIAC,SUNFIRE
A26,1G2ZA5EB1A4102675,2010,PONTIAC,G6
A20,1G2NE5438PC811535,1993,PONTIAC,GRAND AM
A28,1G2NW52E8XM894380,1999,PONTIAC,GRAND AM
A25,2G2WP552261106383,2006,PONTIAC,GRAND PRI
A24,5Y2SN64L03Z438311,2003,PONTIAC,VIBE
A25,1G2NF52E64M703177,2004,PONTIAC,GRAND AM
A23,1G2ZH548154143475,2005,PONTIAC,G6
A20,3G2JB12F65S145568,2005,PONTIAC,SUNFIRE
A21,5Y2SM6E06AZ417323,2010,PONTIAC,VIBE
A29,1G2NF52E34M553156,2004,PONTIAC,GRAND AM
A25,1G2NE12TXXM815575,1999,PONTIAC,GRAND AM
A24,2G2WP552161294202,2006,PONTIAC,GRAND PRI
A26,1G2WJ12M6TF217832,1996,PONTIAC,GRAND PRI
A29,1G2HY54KX34172073,2003,PONTIAC,BONNEVILL
A22,1G2NF52T21C101098,2001,PONTIAC,GRAND AM
A25,1G2NE12T3WC774842,1998,PONTIAC,GRAND AM
A23,1G2NE52E95M220822,2005,PONTIAC,GRAND AM
A21,1G2NE52E6XM868749,1999,PONTIAC,GRAND AM
A24,1G2HZ541424232576,2002,PONTIAC,BONNEVILL
A21,1G2NW52E21C272760,2001,PONTIAC,GRAND AM
A25,1G2WR1217XF223031,1999,PONTIAC,GRAND PRI
A23,1G2NF52E73M566636,2003,PONTIAC,GRAND AM
A20,1G2WP12K7XF249322,1999,PONTIAC,GRAND PRI
A19,1GMDX03E8WD195931,1998,PONTIAC,MONTANA
A22,1G2WP52K91F158535,2001,PONTIAC,GRAND PRI
A25,1GMDV13EX4D172952,2004,PONTIAC,MONTANA
A28,1GMDX03E54D170370,2004,PONTIAC,MONTANA
A21,1GMDX03E34D113374,2004,PONTIAC,MONTANA
A25,1GMDV13E92D253552,2002,PONTIAC,MONTANA
A28,1GMDX03E72D128957,2002,PONTIAC,MONTANA
A29,1G2AL15F977171642,2007,PONTIAC,G5
A26,3G7DA03E44S540549,2004,PONTIAC,AZTEK
A25,1GHDT13WXW2718404,1998,OLDMOBILE,BRAVADA
A23,1G3NL52F33C106912,2003,OLDMOBILE,ALERO
A22,1G3NL12E44C207507,2004,OLDMOBILE,ALERO
A27,1GHDT13W2V2701174,1997,OLDMOBILE,BRAVADA
A21,1G3HN54C4JW393392,1988,OLDMOBILE,DELTA 88
A23,1GHDX23E71D231207,2001,OLDMOBILE,SILHOUETT
A27,1GHDT13S222295941,2002,OLDMOBILE,BRAVADA
A28,1GHDT13W6X2702346,1999,OLDMOBILE,BRAVADA
A27,1GHDT13S422102558,2002,OLDMOBILE,BRAVADA
A21,1G3AM54N4N6302391,1992,OLDMOBILE,CIERA
A29,1G3GS64C014135067,2001,OLDMOBILE,AURORA
A01,1G3NL52E5YC406725,2000,OLDMOBILE,ALERO
A24,1G3GS64C034117218,2003,OLDMOBILE,AURORA
A23,3G5DB03EX5S555029,2005,BUICK,RENDEZVOU
A29,2G4WS52J4Y1300871,2000,BUICK,CENTURY
A26,1G4HR54K24U121723,2004,BUICK,LESABRE
A19,2G4WB52K9T1428007,1996,BUICK,REGAL
A26,2G4WB52K0Y1192080,2000,BUICK,REGAL
A27,3G5DA03756S589997,2006,BUICK,RENDEZVOU
A25,1G4HR54K0YU158856,2000,BUICK,LESABRE
A24,1G4HD57287U137701,2007,BUICK,LUCERNE
A22,1G4HP53L1PH509183,1993,BUICK,LESABRE
A25,2G4WF5216W1455388,1998,BUICK,REGAL
A24,2Z57R9E147133,1979,BUICK,RIVIERA
A28,1G4NV55D4SC442261,1995,BUICK,SKYLARK
A22,1G4HR52K1TH436474,1996,BUICK,LESABRE
A21,2G4WS52J831191842,2003,BUICK,CENTURY
A21,1G4HP54K62U229118,2002,BUICK,LESABRE
A19,2G4WD582471224271,2007,BUICK,LACROSSE
A23,2G4WY52M6X1441111,1999,BUICK,CENTURY
A29,1G4HP52K0WH434483,1998,BUICK,LESABRE
A27,1G4GJ5E33CF179112,2012,BUICK,LACROSSE
A20,W04GR5EC0B1059691,2011,BUICK,REGAL
A25,2G4WB52LXS1480947,1995,BUICK,REGAL
A27,2G4WS52J931108340,2003,BUICK,CENTURY
A08,5GAEV23D39J192847,2009,BUICK,ENCLAVE
A20,1G4HP52L6SH510923,1995,BUICK,LESABRE
A19,1G4HP52K0WH439165,1998,BUICK,LESABRE
A28,1G4CW54K134120483,2003,BUICK,PARK AVE
A23,2G4WD532251236956,2005,BUICK,LACROSSE
A28,1G6KD54Y5YU166127,2000,CADILLAC,DEVILLE
A23,1G6DM57N730157164,2003,CADILLAC,CTS
A21,1G6KS52Y2VU827410,1997,CADILLAC,SEVILLE
A27,1G6DC67A550121675,2005,CADILLAC,STS
A25,1G6KD54YX4U112770,2004,CADILLAC,DEVILLE
A26,3GYFK66N35G102156,2005,CADILLAC,ESCALAESV
A24,1G6AB69N3D9114501,1983,CADILLAC,FLEETWOOD
A19,1G6KY54931U180062,2001,CADILLAC,SEVILLE
A20,1G6ET1295XU610111,1999,CADILLAC,ELDORADO
A22,1G6DM57N130161744,2003,CADILLAC,CTS
A28,1G6ET1299TU605827,1996,CADILLAC,ELDORADO
A20,1G6DT57V290119854,2009,CADILLAC,CTS
A22,1G6KD52B7RU286608,1994,CADILLAC,DEVILLE
A29,1G6KA5EY9AU120653,2010,CADILLAC,DTS
A21,1G6EL12Y1RU613064,1994,CADILLAC,ELDORADO
A21,1G6KE54Y4XU764236,1999,CADILLAC,DEVILLE
A22,5GZEV23778J175202,2008,SATURN,OUTLOOK
A23,5GZCZ634X4S870173,2004,SATURN,VUE
A21,3GSDL53739S557980,2009,SATURN,VUE
A29,1G8ZG5285YZ189541,2000,SATURN,SAT S CPE
A24,1G8JU52F51Y578681,2001,SATURN,SAT L SDN
A23,5GZCZ33DX6S815725,2006,SATURN,VUE
A25,5GZCZ33D07S844622,2007,SATURN,VUE
A27,1G8ZH528XYZ233921,2000,SATURN,SAT S CPE
A24,1G8ZS57N97F265923,2007,SATURN,AURA
A24,5GZCZ63464S809600,2004,SATURN,VUE
A24,1G8JW52R5YY657024,2000,SATURN,SAT L SDN
A20,1G8ZY1274YZ158035,2000,SATURN,SAT S CPE
A22,1G8ZR57527F271459,2007,SATURN,AURA
A23,5GZCZ63416S849974,2006,SATURN,VUE
A25,1G8ZV57707F254107,2007,SATURN,AURA
A26,1G8JU54F43Y571625,2003,SATURN,SAT L SDN
A29,1G8ZF5287VZ401791,1997,SATURN,SATURNSDN
A26,1GCGG29V861157718,2006,CHEVROLET,EXPRESS25
A01,CCY244F465066,1974,CHEVROLET,TCHEV20
A20,1GCHC23U16F178400,2006,CHEVROLET,SILVRDO25
A28,1GNDT13W112125813,2001,CHEVROLET,BLAZERS10
A29,1GCBS14R8G2116689,1986,CHEVROLET,S10PICKUP
A20,2GCEK19RXT1141819,1996,CHEVROLET,TCHEV1500
A29,1GCCS14B6D8134169,1983,CHEVROLET,S10PICKUP
A24,1GNEL19W4XB189381,1999,CHEVROLET,ASTROVAN
A20,1GNEK13Z52J136497,2002,CHEVROLET,TAHOE
A01,CKY244F301104,1974,CHEVROLET,TCHEV20
A21,1GNEK13V85J130016,2005,CHEVROLET,TAHOE
A26,1GNDT13W91K240580,2001,CHEVROLET,BLAZERS10
A29,1GCCT14R9G2131462,1986,CHEVROLET,S10PICKUP
A28,1GCEK14R9TZ210840,1996,CHEVROLET,TCHEV1500
A19,1G8CT18B6D8170042,1983,CHEVROLET,BLAZERS10
A24,1GCGG25V351255219,2005,CHEVROLET,EXPRESS25
A29,2CNDL737186019505,2008,CHEVROLET,EQUINOX
A23,2GCEG25K3K4155803,1989,CHEVROLET,G20
A21,1GNEC13RXYR231273,2000,CHEVROLET,TAHOE 48L
A20,1GCCG15Z7L7137860,1990,CHEVROLET,G10
A28,1GNCT18R5H8213009,1987,CHEVROLET,BLAZERS10
A24,1GNDT13W6W2167434,1998,CHEVROLET,BLAZERS10
A28,1G8CT18BXD8167676,1983,CHEVROLET,BLAZERS10
A22,1GNFK16K9PJ399098,1993,CHEVROLET,SUBCHEV15
A21,2CNDL23F186332984,2008,CHEVROLET,EQUINOX
A21,1GCFG25T531148390,2003,CHEVROLET,EXPRESS15
A29,3GNEK13T13G203174,2003,CHEVROLET,AVALNCH15
A24,1GNDT13S082141170,2008,CHEVROLET,TRAILBLAZ
A22,2GCEK19K0R1104029,1994,CHEVROLET,TCHEV1500
A26,1GNDT13W1W2226941,1998,CHEVROLET,BLAZERS10
A20,1GNDT13W1Y2283482,2000,CHEVROLET,BLAZERS10
A27,1GNDT13S382222714,2008,CHEVROLET,TRAILBLAZ
A23,2GNFLNE5XC6298496,2012,CHEVROLET,EQUINOX
A29,1GNDT13S342358660,2004,CHEVROLET,TRAILBLAZ
A22,3GKFK16R2VG513113,1997,CHEVROLET,SUBCHEV15
A26,1GNDT13SX82207367,2008,CHEVROLET,TRAILBLAZ
A24,1GNFK16K5RJ398288,1994,CHEVROLET,SUBCHEV15
A27,1GNDT13W8W2190293,1998,CHEVROLET,BLAZERS10
A28,1GNDT13W7Y2156493,2000,CHEVROLET,BLAZERS10
A27,1GNDT13S242287452,2004,CHEVROLET,TRAILBLAZ
A19,1GNCT18Z6M8184243,1991,CHEVROLET,BLAZERS10
A27,1GNDT13W5X2179186,1999,CHEVROLET,BLAZERS10
A20,1GNDT13S162284352,2006,CHEVROLET,TRAILBLAZ
A23,1GCCS14B2F8137055,1985,CHEVROLET,S10PICKUP
A24,1GNDT13S652156395,2005,CHEVROLET,TRAILBLAZ
A27,1GNDT13W2X2188136,1999,CHEVROLET,BLAZERS10
A23,1GBDM19Z7NB110735,1992,CHEVROLET,ASTROVAN
A25,1GCCT14B5F2101618,1985,CHEVROLET,S10PICKUP
A01,CCZ243F410415,1973,CHEVROLET,TCHEV10
A26,1GNDM19Z6MB185413,1991,CHEVROLET,ASTROVAN
A19,1GNEC16T04J213042,2004,CHEVROLET,SUBURBN15
A26,1GCDT19Z6K8207187,1989,CHEVROLET,S10PICKUP
A29,1GCDK14H3JZ213054,1988,CHEVROLET,TCHEV1500
A25,3GNFK16R6XG217386,1999,CHEVROLET,SUBCHEV15
A28,1GCDM15ZXNB167223,1992,CHEVROLET,ASTROVAN
A27,1GCDT19Z9K8118701,1989,CHEVROLET,S10PICKUP
A23,1GCDK14KXJZ214861,1988,CHEVROLET,TCHEV1500
A19,1GNEK13R6TJ342655,1996,CHEVROLET,TAHOE
A28,2GNFLGEK1D6377297,2013,CHEVROLET,EQUINOX
A20,1GNDT13W4S2196215,1995,CHEVROLET,BLAZERS10
A24,1GNDM19Z2NB188357,1992,CHEVROLET,ASTROVAN
A27,1GNDT13W02K187110,2002,CHEVROLET,BLAZERS10
A01,3C254J138018,1963,CHEVROLET,TCHEV10
A02,CCQ145S102433,1975,CHEVROLET,TCHEV10
A19,2GCEK19K1S1177593,1995,CHEVROLET,TCHEV1500
A28,1GCEC14W0WZ245869,1998,CHEVROLET,TCHEV1500
A22,1GNDT13S532132456,2003,CHEVROLET,TRAILBLAZ
A28,1GNET16SX56108925,2005,CHEVROLET,TRAILBEXT
A26,1GTDC14Z2ME523388,1991,GMC,TGMC1500
A29,1GKDT13S732276099,2003,GMC,ENVOY
A19,3GKFK16Z62G300810,2002,GMC,YUKONXL15
A28,1GKDT13W3V2558455,1997,GMC,S15JIMMY
A24,2GTFK29K7M1512742,1991,GMC,TGMC2500
A21,1GKEL19W7VB511022,1997,GMC,SAFARIVAN
A29,1GTCS19X6T8521680,1996,GMC,SONOMA
A22,1GKFK66UX4J118384,2004,GMC,DENALI XL
A28,1GTCS19Z3S8515951,1995,GMC,SONOMA
A02,TCL246F717035,1976,GMC,TGMC1500
A26,1GKFK16Z22J279257,2002,GMC,YUKONXL15
A22,1GKEV13757J104188,2007,GMC,ACADIA
A21,2GTFK29K5P1552015,1993,GMC,TGMC2500
A23,1GKEV33788J220286,2008,GMC,ACADIA
A19,1GKEK13R8XJ735222,1999,GMC,YUKON
A27,1GKEV33708J214949,2008,GMC,ACADIA
A26,1GKEK13KXSJ767326,1995,GMC,YUKON
A27,1GKES16S856103965,2005,GMC,ENVOY XL
A26,1GKDT13S642129404,2004,GMC,ENVOY
A20,1GKEV13D89J164362,2009,GMC,ACADIA
A20,1GKDT13S342411113,2004,GMC,ENVOY
A26,1GKDT13W8T2530289,1996,GMC,JIMMYS15
A05,5FNRL18973B147851,2003,HONDA,ODYSSEY
A10,JHMCB7641LC087693,1990,HONDA,ACCORD
A08,JHMGE87219S050671,2009,HONDA,FIT
B01,2HKRL1868YH010447,2000,HONDA,ODYSSEY
A05,1HGCG5645XA146593,1999,HONDA,ACCORD
A13,1HGCD5655TA027244,1996,HONDA,ACCORD
A07,1HGEJ653XXL004527,1999,HONDA,CIVIC
A13,1HGCM72673A024291,2003,HONDA,ACCORD
A13,5FNRL18083B097155,2003,HONDA,ODYSSEY
A07,JHMCD5658RC109480,1994,HONDA,ACCORD
A06,JHMCB7653MC086619,1991,HONDA,ACCORD
A10,JHMCG5642YC000025,2000,HONDA,ACCORD
A15,1HGCG1654XA043294,1999,HONDA,ACCORD
A13,1HGCG1658WA075857,1998,HONDA,ACCORD
A15,1HGCB7651MA214189,1991,HONDA,ACCORD
A15,3HGGK5H84FM738813,2015,HONDA,FIT
A04,1HGCD5631VA161525,1997,HONDA,ACCORD
A08,JHMCD5658RC092230,1994,HONDA,ACCORD
A03,2HKYF18423H564688,2003,HONDA,PILOT
A06,JHMCG565XYC016580,2000,HONDA,ACCORD
A10,1HGCG56601A096730,2001,HONDA,ACCORD
A14,1HGCG5646WA096544,1998,HONDA,ACCORD
A04,1HGEJ212XSL053872,1995,HONDA,CIVIC
A05,2HKYF18504H535152,2004,HONDA,PILOT
A05,1HGCD5650VA056976,1997,HONDA,ACCORD
A04,5FNRL18942B020750,2002,HONDA,ODYSSEY
A15,1HGEG865XSL031794,1995,HONDA,CIVIC
A15,5FNRL18064B033617,2004,HONDA,ODYSSEY
A03,2HGFG3B82DH514638,2013,HONDA,CIVIC
A14,2HGFA15938H528600,2008,HONDA,CIVIC
B18,KMHLA11JXGU098167,1986,HYUNDAI,EXCEL
A06,KM8SC73D96U111795,2006,HYUNDAI,SANTA FE
A03,KM8SC73D75U941058,2005,HYUNDAI,SANTA FE
A07,KM8JN72D87U484903,2007,HYUNDAI,TUCSON
A14,5NPEU46FX6H132692,2006,HYUNDAI,SONATA
A09,5NPET46F68H345970,2008,HYUNDAI,SONATA
A15,5NPET4AC9AH584626,2010,HYUNDAI,SONATA
A13,KMHVD34N2VU242589,1997,HYUNDAI,ACCENT
A15,KM8SC73D15U945543,2005,HYUNDAI,SANTA FE
A05,5NMSH73EX7H096893,2007,HYUNDAI,SANTA FE
A13,KMHFU45E44A281953,2004,HYUNDAI,XG350
A08,KMHJG25F3YU158325,2000,HYUNDAI,TIBURON
A04,KMHCT4AE5GU134684,2016,HYUNDAI,ACCENT
A07,KMHCG35C33U264867,2003,HYUNDAI,ACCENT
A15,KMHDU46D68U552660,2008,HYUNDAI,ELANTRA
A15,KMHDN46D04U714872,2004,HYUNDAI,ELANTRA
A01,S122545190,1968,,INTERNAT
A14,4S2DM58W1Y4302191,2000,ISUZU,RODEO
A06,JACCH58E3K7908647,1989,ISUZU,TROOPER
A04,KNDJA7238T5517118,1996,KIA,SPORTAGE
A13,KNDMB233476179552,2007,KIA,SEDONA
A06,KNAFB121715087011,2001,KIA,SEPHIA
A15,KNAFB121535268255,2003,KIA,SPECTRA
A03,KNDUP132156769224,2005,KIA,SEDONA
A15,KNDUP131736404213,2003,KIA,SEDONA
A14,KNAFU4A28B5447135,2011,KIA,FORTE
A03,KNAFE161255094374,2005,KIA,SPECTRA
A06,KNADC125X46334818,2004,KIA,RIO
A13,KNADE123X76254352,2007,KIA,RIO
A06,KNAFE161185016480,2008,KIA,SPECTRA
A13,KNAFB1219Y5841357,2000,KIA,SEPHIA
A03,JT6HF10U8X0055940,1999,LEXUS,RX300
A05,JT8UF22E6S0035132,1995,LEXUS,LS400
A14,JTHBF30GX35040128,2003,LEXUS,ES300
A05,JT8BF28G8W5033925,1998,LEXUS,ES300
A14,JT8BF28G1W5044779,1998,LEXUS,ES300
A05,WDBHA29G1YA828350,2000,MERCEDES,C280
A04,WDBJF55F5TJ010825,1996,MERCEDES,E320
A03,WDBRH64JX2F157992,2002,MERCEDES,C320
A06,JA3AJ86E06U007498,2006,MITSUBISHI,LANCERMIT
A10,4A3AJ56G7WE044315,1998,MITSUBISHI,GALANT
A14,4A3AA46G13E133237,2003,MITSUBISHI,GALANT
A14,4A4MM41S64E001071,2004,MITSUBISHI,ENDEAVOR
A08,4A3AC84L0YE162639,2000,MITSUBISHI,ECLIPSE
A06,JA3BM64J9PY034144,1993,MITSUBISHI,3000GT
A06,4A3AE45GX3E183818,2003,MITSUBISHI,ECLIPSE
A04,4A3AC44G74E040561,2004,MITSUBISHI,ECLIPSE
A07,1YVGF22C7X5863160,1999,MAZDA,626
A03,JM2UF3145M0119943,1991,MAZDA,B-2600
A14,1YVHP80C685M05201,2008,MAZDA,MAZDA 6
A03,JM1BK343X81148302,2008,MAZDA,MAZDA 3
A03,JM1BJ225630176470,2003,MAZDA,PROTEGE
A07,4F4DR17XXRTM79871,1994,MAZDA,B-4000
A06,1YVFP80C345N12711,2004,MAZDA,MAZDA 6
A14,JM1BK343641201023,2004,MAZDA,MAZDA 3
A05,JM3LV5221K0123536,1989,MAZDA,MPV VAN
A05,1YVHZ8BH3B5M06946,2011,MAZDA,MAZDA 6
A14,JM3LW28J340501191,2004,MAZDA,MPV VAN
A04,4F2YZ94155KM27332,2005,MAZDA,TRIBUTE
A03,4F2CU08191KM11482,2001,MAZDA,TRIBUTE
A02,43300534A,1970,LAND ROVER,ROVER3500
A15,YS3EH49G523050392,2002,SAAB,9-5
A02,99771021000,1977,SAAB,99
A15,JTLKT324754020087,2005,SCION,XB SCION
A02,G844097,1949,,STUDEBAKE
A01,62S28476,1962,,STUDEBAKE
A02,61V5215,1961,,STUDEBAKE
A02,G1368906,1956,,STUDEBAKE
A08,4S3BJ6322N6908542,1992,SUBARU,LEGACY
A07,4S3BH675747632495,2004,SUBARU,LEGACY
A13,4S4BRCKC7B3313227,2011,SUBARU,LEGACY
A05,4S4BJ63C2M7900941,1991,SUBARU,LEGACY
A14,JF1GF6352SH815463,1995,SUBARU,IMPREZA
A05,JF1GC2247PB515406,1993,SUBARU,IMPREZA
A07,JF2AN52B5MD406082,1991,SUBARU,LOYALE
A06,4S3BG6857V7643726,1997,SUBARU,LEGACY
A05,4S3BK4355X7309210,1999,SUBARU,LEGACY
A04,JF1SF63581H716476,2001,SUBARU,FORESTER
A03,4S4BRBCC2B3319848,2011,SUBARU,LEGACY
A03,JF2BJ63C5LH945712,1990,SUBARU,LEGACY
A13,4S3BH860Y7625546,2000,SUBARU,OUTBAKLEG
A06,JF1SF65551H738853,2001,SUBARU,FORESTER
A14,4S3BH675XY6614388,2000,SUBARU,LEGACY
A13,4S3BH665517651110,2001,SUBARU,LEGACY
A05,4S3BG6854X7607124,1999,SUBARU,LEGACY
A07,4S3BH686017678883,2001,SUBARU,LEGACY
A14,JF1SG63613H704730,2003,SUBARU,FORESTER
A04,4S4BP61C787339563,2008,SUBARU,LEGACY
A03,4S3BH665027625578,2002,SUBARU,LEGACY
A13,JF1SG65675H713366,2005,SUBARU,FORESTER
A07,4S4BP61C667359932,2006,SUBARU,LEGACY
A15,4S3BH686827608971,2002,SUBARU,LEGACY
A06,JF1SF65642H754830,2002,SUBARU,FORESTER
A04,4S3BE635236214431,2003,SUBARU,LEGACY
A04,JF1SF6556XH701352,1999,SUBARU,FORESTER
A06,KL5JD52Z24K938423,2004,SUZUKI,FORENZA
A04,JS3TX92V714108326,2001,SUZUKI,XL-7
A05,JS3TX92VX34110378,2003,SUZUKI,XL-7
A06,1NXBA02E8VZ581192,1997,TOYOTA,COROLLA
A08,1NXBR12E0XZ228981,1999,TOYOTA,COROLLA
A03,4T1BE32K45U561548,2005,TOYOTA,CAMRY
A05,2T1BU4EE6DC961948,2013,TOYOTA,COROLLA
A07,4T3ZF13C11U396003,2001,TOYOTA,SIENNA
A08,1NXBR32EX3Z030947,2003,TOYOTA,COROLLA
A07,4T1BG22K91U102806,2001,TOYOTA,CAMRY
A15,JT3VN39W4M0056176,1991,TOYOTA,4 RUNNER
A15,4T1VK13E4PU065591,1993,TOYOTA,CAMRY
A06,JTDAT1239Y0079141,2000,TOYOTA,ECHO
A15,4T1BE46K47U509629,2007,TOYOTA,CAMRY
A13,JT3HP10V7Y7153515,2000,TOYOTA,RAV 4
A05,1NXBR12E4YZ322234,2000,TOYOTA,COROLLA
A07,1NXBR32E95Z393954,2005,TOYOTA,COROLLA
A09,4T1BF30K03U044230,2003,TOYOTA,CAMRY
A03,4T1BF28B51U163905,2001,TOYOTA,AVALON
A03,4T4BE46K48R022597,2008,TOYOTA,CAMRY
A06,JTDAT1238Y5018866,2000,TOYOTA,ECHO
A13,JT3HP10V0T0092025,1996,TOYOTA,RAV 4
A04,JTEHH20V410031560,2001,TOYOTA,RAV 4
A07,JT2SV21W6L0327217,1990,TOYOTA,CAMRY
A10,JT2EL56D1S0068162,1995,TOYOTA,TERCEL
A07,4T1BE32K63U667819,2003,TOYOTA,CAMRY
A04,4T1BF28B11U182788,2001,TOYOTA,AVALON
A07,4T1BE46K38U789836,2008,TOYOTA,CAMRY
A06,JT2BG22K2W0143693,1998,TOYOTA,CAMRY
A13,4T3ZF13C1YU316287,2000,TOYOTA,SIENNA
A07,5TDZA23C36S506563,2006,TOYOTA,SIENNA
A13,5TDBA22CX4S007887,2004,TOYOTA,SIENNA
A07,4T1BG22KXYU947514,2000,TOYOTA,CAMRY
A15,JTDDR32T1Y0045170,2000,TOYOTA,CELICA
A08,1NXBR18E8WZ139245,1998,TOYOTA,COROLLA
A07,4T1BF12B4TU098387,1996,TOYOTA,AVALON
A06,JT2BG22K6W0135435,1998,TOYOTA,CAMRY
A05,1NXBR18E9WZ051935,1998,TOYOTA,COROLLA
A14,JTDBE32K020026563,2002,TOYOTA,CAMRY
A10,JTEHF21A120066771,2002,TOYOTA,HIGHLANDR
A08,JT2BF28K3X0219286,1999,TOYOTA,CAMRY
A15,YV1VS2559YF523374,2000,VOLVO,S40
A06,YV4CT852971363542,2007,VOLVO,XC90
A03,YV4952DLXB2223854,2011,VOLVO,XC60
A08,YV1LS61J1Y2628967,2000,VOLVO,S70
A02,VC24215B1052440,1975,VOLVO,242
A08,YV1FX8842G1065507,1986,VOLVO,740
A14,WVWPD63B94E283686,2004,VOLKSWAGEN,PASSAT
A02,1132581795,1973,VOLKSWAGEN,BEETLE
A07,3VWSD69M71M157624,2001,VOLKSWAGEN,JETTA
A13,3VWCA21C5YM495932,2000,VOLKSWAGEN,BEETLE
A13,9BWBL61J254005300,2005,VOLKSWAGEN,GOLF
A14,3VWRM71KX8M068512,2008,VOLKSWAGEN,JETTA
A06,WVWEK73C56P066302,2006,VOLKSWAGEN,PASSAT
A08,3VWSE69M54M011305,2004,VOLKSWAGEN,JETTA
A05,WVWVD63B44E034638,2004,VOLKSWAGEN,PASSAT
A02,1332242938,1973,VOLKSWAGEN,BEETLE
A10,WVWGC31J3XW612084,1999,VOLKSWAGEN,CABRIO
A01,4622020717,1972,VOLKSWAGEN,411-2
A01,4622007601,1971,VOLKSWAGEN,411-2
A01,3112169656,1971,VOLKSWAGEN,FASTBACK
A02,1122873084,1972,VOLKSWAGEN,BEETLE
A03,WVWVD63B33E071744,2003,VOLKSWAGEN,PASSAT
A02,62V34887,1900,,STUDEBAKE
A02,85001975,1900,,NOF
A02,26S12201,1900,,MISC
A02,C506189,1900,,STUDEBAKE
